 	172800 	NS 	ns-832.awsdns-40.net.
oauth-auth-me. 	300 	CNAME 	basic-vidaahub-581035931.us-west-2.elb.amazonaws.com.
oauth-auth-na. 	300 	CNAME 	basic-vidaahub-581035931.us-west-2.elb.amazonaws.com.
oauth-auth-oc. 	300 	CNAME 	basic-vidaahub-581035931.us-west-2.elb.amazonaws.com.
oauth-auth-ru. 	300 	A 	178.154.196.100
oauth-auth-sa. 	300 	CNAME 	basic-vidaahub-581035931.us-west-2.elb.amazonaws.com.
oauth-auth. 	300 	CNAME 	basic-vidaahub-581035931.us-west-2.elb.amazonaws.com.
odinstore-vidaa-dev. 	300 	CNAME 	d1tqksqauuok7c.cloudfront.net.
odinstore-vidaa. 	300 	CNAME 	dav1ksct7pn12.cloudfront.net.
oregon-konga. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
osp. 	300 	CNAME 	njbp-oss-99b288ace96d20e4.elb.us-west-2.amazonaws.com.
ota-dl. 	300 	CNAME 	d20dfzhhbt394p.cloudfront.net.
ota-fileserver-u2. 	300 	A 	8.142.159.35
ota-tv-af. 	300 	CNAME 	hiupgrade-nginx-vidaahub-ext-c899bb89cbc3ffeb.elb.us-west-2.amazonaws.com.
ota-tv-as. 	300 	CNAME 	hiupgrade-nginx-vidaahub-ext-c899bb89cbc3ffeb.elb.us-west-2.amazonaws.com.
ota-tv-dev. 	300 	A 	34.212.125.2
ota-tv-ea. 	300 	CNAME 	hiupgrade-nginx-vidaahub-ext-c899bb89cbc3ffeb.elb.us-west-2.amazonaws.com.
ota-tv-ee. 	300 	CNAME 	hiupgrade-nginx-vidaahub-ext-c899bb89cbc3ffeb.elb.us-west-2.amazonaws.com.
ota-tv-eu. 	300 	CNAME 	hiupgrade-nginx-vidaahub-ext-c899bb89cbc3ffeb.elb.us-west-2.amazonaws.com.
ota-tv-jp. 	300 	CNAME 	hiupgrade-nginx-vidaahub-ext-c899bb89cbc3ffeb.elb.us-west-2.amazonaws.com.
ota-tv-la. 	300 	CNAME 	hiupgrade-nginx-vidaahub-ext-c899bb89cbc3ffeb.elb.us-west-2.amazonaws.com.
ota-tv-me. 	300 	CNAME 	hiupgrade-nginx-vidaahub-ext-c899bb89cbc3ffeb.elb.us-west-2.amazonaws.com.
ota-tv-na. 	300 	CNAME 	hiupgrade-nginx-vidaahub-ext-c899bb89cbc3ffeb.elb.us-west-2.amazonaws.com.
ota-tv-oc. 	300 	CNAME 	hiupgrade-nginx-vidaahub-ext-c899bb89cbc3ffeb.elb.us-west-2.amazonaws.com.
ota-tv-sa. 	300 	CNAME 	hiupgrade-nginx-vidaahub-ext-c899bb89cbc3ffeb.elb.us-west-2.amazonaws.com.
ota-tv-test. 	300 	CNAME 	sitnew-hiupgrade-a182c466ef4a2646.elb.us-west-2.amazonaws.com.
ota-tv. 	300 	CNAME 	hiupgrade-nginx-vidaahub-ext-c899bb89cbc3ffeb.elb.us-west-2.amazonaws.com.
ota-tv. 	300 	CNAME 	hiupgrade-nginx-hismarttv-ext-ea902929cafd6970.elb.us-west-2.amazonaws.com
param-ui-af. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
param-ui-as. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
param-ui-ea. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
param-ui-ee. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
param-ui-eu. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
param-ui-jp. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
param-ui-la. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
param-ui-me. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
param-ui-na. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
param-ui-oc. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
param-ui-sa. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
param-ui. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
params-msg-af. 	300 	CNAME 	message-apigateway-eb5d9f211edfb6ac.elb.us-west-2.amazonaws.com.
params-msg-as. 	300 	CNAME 	message-apigateway-eb5d9f211edfb6ac.elb.us-west-2.amazonaws.com.
params-msg-ea. 	300 	CNAME 	message-apigateway-eb5d9f211edfb6ac.elb.us-west-2.amazonaws.com.
params-msg-ee. 	300 	CNAME 	message-apigateway-eb5d9f211edfb6ac.elb.us-west-2.amazonaws.com.
params-msg-eu. 	300 	CNAME 	message-apigateway-eb5d9f211edfb6ac.elb.us-west-2.amazonaws.com.
params-msg-jp. 	300 	CNAME 	message-apigateway-eb5d9f211edfb6ac.elb.us-west-2.amazonaws.com.
params-msg-la. 	300 	CNAME 	message-apigateway-eb5d9f211edfb6ac.elb.us-west-2.amazonaws.com.
params-msg-me. 	300 	CNAME 	message-apigateway-eb5d9f211edfb6ac.elb.us-west-2.amazonaws.com.
params-msg-na. 	300 	CNAME 	message-apigateway-eb5d9f211edfb6ac.elb.us-west-2.amazonaws.com.
params-msg-oc. 	300 	CNAME 	message-apigateway-eb5d9f211edfb6ac.elb.us-west-2.amazonaws.com.
params-msg-sa. 	300 	CNAME 	message-apigateway-eb5d9f211edfb6ac.elb.us-west-2.amazonaws.com.
params-msg. 	300 	CNAME 	message-apigateway-eb5d9f211edfb6ac.elb.us-west-2.amazonaws.com.
params-strm-af. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
params-strm-as. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
params-strm-ea. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
params-strm-ee. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
params-strm-eu. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
params-strm-jp. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
params-strm-la. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
params-strm-me. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
params-strm-na. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
params-strm-oc. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
params-strm-sa. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
params-strm. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
partner-test. 	300 	CNAME 	sitnew-thirdparty-apigateway-13a05d2b8a1d167e.elb.us-west-2.amazonaws.com
partner. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
partners-voice-ru-test. 	300 	A 	62.84.118.172
partners-voice-ru. 	300 	A 	178.154.193.99
partners-voice-test. 	300 	CNAME 	sitnew-njbpapi-apigateway-6417c96bf3383c2e.elb.us-west-2.amazonaws.com.
partners-voice. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
pay-vidaa-test. 	300 	CNAME 	d1ymlix8yfnhos.cloudfront.net.
pay-vidaa. 	300 	CNAME 	dif7uw55f3egg.cloudfront.net.
policy-jrnl-af. 	300 	CNAME 	bigdata-platform-vidaahub-ext-8848e4de11d507c6.elb.us-west-2.amazonaws.com.
policy-jrnl-as. 	300 	CNAME 	bigdata-platform-vidaahub-ext-8848e4de11d507c6.elb.us-west-2.amazonaws.com.
policy-jrnl-ea. 	300 	CNAME 	bigdata-platform-vidaahub-ext-8848e4de11d507c6.elb.us-west-2.amazonaws.com.
policy-jrnl-ee. 	300 	CNAME 	bigdata-platform-vidaahub-ext-8848e4de11d507c6.elb.us-west-2.amazonaws.com.
policy-jrnl-eu. 	300 	CNAME 	bigdata-platform-vidaahub-ext-8848e4de11d507c6.elb.us-west-2.amazonaws.com.
policy-jrnl-jp. 	300 	CNAME 	bigdata-platform-vidaahub-ext-8848e4de11d507c6.elb.us-west-2.amazonaws.com.
policy-jrnl-la. 	300 	CNAME 	bigdata-platform-vidaahub-ext-8848e4de11d507c6.elb.us-west-2.amazonaws.com.
policy-jrnl-me. 	300 	CNAME 	bigdata-platform-vidaahub-ext-8848e4de11d507c6.elb.us-west-2.amazonaws.com.
policy-jrnl-na. 	300 	CNAME 	bigdata-platform-vidaahub-ext-8848e4de11d507c6.elb.us-west-2.amazonaws.com.
policy-jrnl-oc. 	300 	CNAME 	bigdata-platform-vidaahub-ext-8848e4de11d507c6.elb.us-west-2.amazonaws.com.
policy-jrnl-ru. 	300 	CNAME 	bigdata-platform-vidaahub-ext-8848e4de11d507c6.elb.us-west-2.amazonaws.com.
policy-jrnl-sa. 	300 	CNAME 	bigdata-platform-vidaahub-ext-8848e4de11d507c6.elb.us-west-2.amazonaws.com.
policy-jrnl. 	300 	CNAME 	bigdata-platform-vidaahub-ext-8848e4de11d507c6.elb.us-west-2.amazonaws.com.
portal-app-test. 	300 	CNAME 	d2fhj2pm7nlxea.cloudfront.net.
portal-app. 	300 	CNAME 	d2fhj2pm7nlxea.cloudfront.net.
prmandroid-msg-af. 	300 	CNAME 	message-apigateway-467fdbc2f78e2d9c.elb.us-west-2.amazonaws.com.
prmandroid-msg-as. 	300 	CNAME 	message-apigateway-467fdbc2f78e2d9c.elb.us-west-2.amazonaws.com.
prmandroid-msg-ea. 	300 	CNAME 	message-apigateway-467fdbc2f78e2d9c.elb.us-west-2.amazonaws.com.
prmandroid-msg-ee. 	300 	CNAME 	message-apigateway-467fdbc2f78e2d9c.elb.us-west-2.amazonaws.com.
prmandroid-msg-eu. 	300 	CNAME 	message-apigateway-467fdbc2f78e2d9c.elb.us-west-2.amazonaws.com.
prmandroid-msg-jp. 	300 	CNAME 	message-apigateway-467fdbc2f78e2d9c.elb.us-west-2.amazonaws.com.
prmandroid-msg-la. 	300 	CNAME 	message-apigateway-467fdbc2f78e2d9c.elb.us-west-2.amazonaws.com.
prmandroid-msg-me. 	300 	CNAME 	message-apigateway-467fdbc2f78e2d9c.elb.us-west-2.amazonaws.com.
prmandroid-msg-na. 	300 	CNAME 	message-apigateway-467fdbc2f78e2d9c.elb.us-west-2.amazonaws.com.
prmandroid-msg-oc. 	300 	CNAME 	message-apigateway-467fdbc2f78e2d9c.elb.us-west-2.amazonaws.com.
prmandroid-msg-sa. 	300 	CNAME 	message-apigateway-467fdbc2f78e2d9c.elb.us-west-2.amazonaws.com.
prmandroid-msg. 	300 	CNAME 	message-apigateway-467fdbc2f78e2d9c.elb.us-west-2.amazonaws.com.
profession-ui. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
realtimegrafana. 	300 	A 	52.38.165.143
recommend-ui-af. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
recommend-ui-as. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
recommend-ui-ea. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
recommend-ui-ee. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
recommend-ui-eu. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
recommend-ui-jp. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
recommend-ui-la. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
recommend-ui-me. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
recommend-ui-na. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
recommend-ui-oc. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
recommend-ui-sa. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
recommend-ui. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
ris. 	300 	A 	44.237.51.225
rpt-ads-jp. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
rsc-ads-jp. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
rsc-ads-test. 	300 	A 	52.33.192.149
rsc-ads. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
search-ui-af. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
search-ui-as. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
search-ui-ea. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
search-ui-ee. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
search-ui-eu. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
search-ui-jp. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
search-ui-la. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
search-ui-me. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
search-ui-na. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
search-ui-oc. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
search-ui-sa. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
search-ui. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
sit-jucloud. 	300 	CNAME 	sitnew-cloud-nlb-a1bf2a58f78e61ce.elb.us-west-2.amazonaws.com.
sport-vidaa-dev. 	300 	CNAME 	du54uefhekztz.cloudfront.net.
sport-vidaa. 	300 	CNAME 	d3dn3os8arvdwr.cloudfront.net.
static-app-test. 	300 	CNAME 	dyis3ylf70aea.cloudfront.net.
ter-jrnl-af. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
ter-jrnl-as. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
ter-jrnl-ea. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
ter-jrnl-ee. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
ter-jrnl-eu. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
ter-jrnl-jp. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
ter-jrnl-la. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
ter-jrnl-me. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
ter-jrnl-na. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
ter-jrnl-oc. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
ter-jrnl-ru. 	300 	A 	84.201.153.45
ter-jrnl-sa. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
ter-jrnl. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
testkit-app-test. 	300 	CNAME 	sitnew-njbpapi-apigateway-6417c96bf3383c2e.elb.us-west-2.amazonaws.com.
time-bas-af. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
time-bas-as. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
time-bas-ea. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
time-bas-ee. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
time-bas-eu. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
time-bas-jp. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
time-bas-la. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
time-bas-me. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
time-bas-na. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
time-bas-oc. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
time-bas-sa. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
time-bas. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
topic-ui-af. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
topic-ui-as. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
topic-ui-ea. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
topic-ui-ee. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
topic-ui-eu. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
topic-ui-jp. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
topic-ui-la. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
topic-ui-me. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
topic-ui-na. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
topic-ui-oc. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
topic-ui-sa. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
topic-ui. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
traffic-ui-af. 	300 	CNAME 	traffic-ui-af
traffic-ui-as. 	300 	CNAME 	traffic-ui-as
traffic-ui-ea. 	300 	CNAME 	traffic-ui-ea
traffic-ui-ee. 	300 	CNAME 	traffic-ui-ee
traffic-ui-eu. 	300 	CNAME 	traffic-ui-eu
traffic-ui-jp. 	300 	CNAME 	traffic-ui-jp
traffic-ui-la. 	300 	CNAME 	traffic-ui-la
traffic-ui-me. 	300 	CNAME 	traffic-ui-me
traffic-ui-na. 	300 	CNAME 	traffic-ui-na
traffic-ui-oc. 	300 	CNAME 	traffic-ui-oc
traffic-ui-sa. 	300 	CNAME 	traffic-ui-sa
traffic-ui. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
tvmodules-vidaa-dev. 	300 	CNAME 	d2h81g4juzktuo.cloudfront.net.
tvmodules-vidaa-test. 	300 	CNAME 	d1ymlix8yfnhos.cloudfront.net.
tvmodules-vidaa. 	300 	CNAME 	dif7uw55f3egg.cloudfront.net.
vidaa-base-auth-af. 	300 	CNAME 	account-nginx-vidaahubext-c909678e6d6e46f8.elb.us-west-2.amazonaws.com.
vidaa-base-auth-as. 	300 	CNAME 	account-nginx-vidaahubext-c909678e6d6e46f8.elb.us-west-2.amazonaws.com.
vidaa-base-auth-ea. 	300 	CNAME 	account-nginx-vidaahubext-c909678e6d6e46f8.elb.us-west-2.amazonaws.com.
vidaa-base-auth-ee. 	300 	CNAME 	account-nginx-vidaahubext-c909678e6d6e46f8.elb.us-west-2.amazonaws.com.
vidaa-base-auth-eu. 	300 	CNAME 	account-nginx-vidaahubext-c909678e6d6e46f8.elb.us-west-2.amazonaws.com.
vidaa-base-auth-jp. 	300 	CNAME 	account-nginx-vidaahubext-c909678e6d6e46f8.elb.us-west-2.amazonaws.com.
vidaa-base-auth-la. 	300 	CNAME 	account-nginx-vidaahubext-c909678e6d6e46f8.elb.us-west-2.amazonaws.com.
vidaa-base-auth-me. 	300 	CNAME 	account-nginx-vidaahubext-c909678e6d6e46f8.elb.us-west-2.amazonaws.com.
vidaa-base-auth-na. 	300 	CNAME 	account-nginx-vidaahubext-c909678e6d6e46f8.elb.us-west-2.amazonaws.com.
vidaa-base-auth-oc. 	300 	CNAME 	account-nginx-vidaahubext-c909678e6d6e46f8.elb.us-west-2.amazonaws.com.
vidaa-base-auth-ru. 	300 	A 	178.154.196.100
vidaa-base-auth-sa. 	300 	CNAME 	account-nginx-vidaahubext-c909678e6d6e46f8.elb.us-west-2.amazonaws.com.
vidaa-base-auth. 	300 	CNAME 	account-nginx-vidaahubext-c909678e6d6e46f8.elb.us-west-2.amazonaws.com.
vidaa-us-fortigate1. 	300 	A 	54.184.18.180
vidaa-voice-af. 	300 	CNAME 	vidaavoice-apigateway-118afcaa40ba18b1.elb.eu-central-1.amazonaws.com.
vidaa-voice-as. 	300 	CNAME 	vidaavoice-apigateway-118afcaa40ba18b1.elb.eu-central-1.amazonaws.com.
vidaa-voice-ea. 	300 	CNAME 	vidaavoice-apigateway-118afcaa40ba18b1.elb.eu-central-1.amazonaws.com.
vidaa-voice-ee. 	300 	CNAME 	vidaavoice-apigateway-118afcaa40ba18b1.elb.eu-central-1.amazonaws.com.
vidaa-voice-eu. 	300 	CNAME 	vidaavoice-apigateway-118afcaa40ba18b1.elb.eu-central-1.amazonaws.com.
vidaa-voice-jp. 	300 	CNAME 	vidaavoice-apigateway-0c2a02e8e8e1b9d2.elb.us-west-2.amazonaws.com.
vidaa-voice-la. 	300 	CNAME 	vidaavoice-apigateway-0c2a02e8e8e1b9d2.elb.us-west-2.amazonaws.com.
vidaa-voice-me. 	300 	CNAME 	vidaavoice-apigateway-118afcaa40ba18b1.elb.eu-central-1.amazonaws.com.
vidaa-voice-na. 	300 	CNAME 	vidaavoice-apigateway-0c2a02e8e8e1b9d2.elb.us-west-2.amazonaws.com.
vidaa-voice-oc. 	300 	CNAME 	vidaavoice-apigateway-118afcaa40ba18b1.elb.eu-central-1.amazonaws.com.
vidaa-voice-ru. 	300 	A 	130.193.41.127
vidaa-voice-sa. 	300 	CNAME 	vidaavoice-apigateway-118afcaa40ba18b1.elb.eu-central-1.amazonaws.com.
vidaa-voice. 	300 	CNAME 	vidaavoice-apigateway-118afcaa40ba18b1.elb.eu-central-1.amazonaws.com.
vidaavoiceservice-hislog-web. 	300 	CNAME 	vidaavoiceservice-hislog-web-4d63b00e8c7dd03f.elb.eu-central-1.amazonaws.com.
vod-strm-dev. 	300 	CNAME 	d3834fct0do7ir.cloudfront.net.
vod-strm. 	300 	CNAME 	d2hu3um3vu8yst.cloudfront.net.
voice-af. 	300 	CNAME 	voiceservice-gateway-285ec3d05738f6f4.elb.us-west-2.amazonaws.com.
voice-as. 	300 	CNAME 	voiceservice-gateway-285ec3d05738f6f4.elb.us-west-2.amazonaws.com.
voice-ea. 	300 	CNAME 	voiceservice-gateway-285ec3d05738f6f4.elb.us-west-2.amazonaws.com.
voice-ee. 	300 	CNAME 	voiceservice-gateway-285ec3d05738f6f4.elb.us-west-2.amazonaws.com.
voice-eu. 	300 	CNAME 	voiceservice-gateway-285ec3d05738f6f4.elb.us-west-2.amazonaws.com.
voice-jp. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
voice-la. 	300 	CNAME 	voiceservice-gateway-285ec3d05738f6f4.elb.us-west-2.amazonaws.com.
voice-me. 	300 	CNAME 	voiceservice-gateway-285ec3d05738f6f4.elb.us-west-2.amazonaws.com.
voice-na. 	300 	CNAME 	voiceservice-gateway-285ec3d05738f6f4.elb.us-west-2.amazonaws.com.
voice-oc. 	300 	CNAME 	voiceservice-gateway-285ec3d05738f6f4.elb.us-west-2.amazonaws.com.
voice-ru. 	300 	A 	178.154.193.99
voice-sa. 	300 	CNAME 	voiceservice-gateway-285ec3d05738f6f4.elb.us-west-2.amazonaws.com.
voice. 	300 	CNAME 	voiceservice-gateway-285ec3d05738f6f4.elb.us-west-2.amazonaws.com.
vpc-elk. 	300 	A 	52.34.91.152
vtvapp-ovp. 	300 	CNAME 	ps-vidaa-prod-tv.vidaa.schange.com.
_5ec5c66ad44e9b15082c5e84e24bd68f.vtvapp-ovp. 	300 	CNAME 	_5eb36b3440c80d99b0d1a7e3e9572181.gfjzbhpkrq.acm-validations.aws.
web-ecom-dev. 	300 	A 	35.163.33.55
web-ecom-test. 	300 	CNAME 	sitnew-njbpapi-apigateway-6417c96bf3383c2e.elb.us-west-2.amazonaws.com.
web-ecom. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
web-rsc-dev. 	300 	CNAME 	d39shap9bitpjh.cloudfront.net.
web-rsc-test. 	300 	CNAME 	d1k4d3hvhhjgwv.cloudfront.net.
web-ru-test. 	300 	A 	62.84.118.172
web-ru. 	300 	A 	178.154.193.99
web-src. 	300 	CNAME 	dsi2a4zi5ck0g.cloudfront.net.
web-test. 	300 	CNAME 	sitnew-oma-2ff7a2e1f21d8160.elb.us-west-2.amazonaws.com.
web. 	300 	CNAME 	mobileaccount-a59d8494080cd1dd.elb.us-west-2.amazonaws.com.
webasop. 	300 	CNAME 	webasop-nginx-619562ab05bc0b97.elb.us-west-2.amazonaws.com.
winsports. 	300 	CNAME 	d1c2ncoq8zea2l.cloudfront.net
yahav-test-2. 	300 	CNAME 	playground-apigateway-e87b0f61f8069bbb.elb.us-west-2.amazonaws.com.
yahav-test-3. 	300 	CNAME 	playground-apigateway-e87b0f61f8069bbb.elb.us-west-2.amazonaws.com.
yahav-test. 	300 	CNAME 	playground-apigateway-e87b0f61f8069bbb.elb.us-west-2.amazonaws.com.
yandex-jucloud. 	300 	A 	178.154.202.89
zeppelin. 	300 	A 	54.184.106.84


## add after 

traffic-ui-af. 	300 	CNAME 	traffic-ui-af
traffic-ui-as. 	300 	CNAME 	traffic-ui-as
traffic-ui-ea. 	300 	CNAME 	traffic-ui-ea
traffic-ui-ee. 	300 	CNAME 	traffic-ui-ee
traffic-ui-eu. 	300 	CNAME 	traffic-ui-eu
traffic-ui-jp. 	300 	CNAME 	traffic-ui-jp
traffic-ui-la. 	300 	CNAME 	traffic-ui-la
traffic-ui-me. 	300 	CNAME 	traffic-ui-me
traffic-ui-na. 	300 	CNAME 	traffic-ui-na
traffic-ui-oc. 	300 	CNAME 	traffic-ui-oc
traffic-ui-sa. 	300 	CNAME 	traffic-ui-sa
traffic-ui. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com

app-tv.vidaahub.com	CNAME	Weighted	0	hiupgrade-nginx-vidaahub-ext-c899bb89cbc3ffeb.elb.us-west-2.amazonaws.com.

app-tv.vidaahub.com	CNAME	Weighted	100	hiupgrade-nginx-hismarttv-ext-ea902929cafd6970.elb.us-west-2.amazonaws.com

ota-tv.vidaahub.com	CNAME	Weighted	0	hiupgrade-nginx-vidaahub-ext-c899bb89cbc3ffeb.elb.us-west-2.amazonaws.com.

ota-tv.vidaahub.com	CNAME	Weighted	100	hiupgrade-nginx-hismarttv-ext-ea902929cafd6970.elb.us-west-2.amazonaws.com
