 	172800 	NS 	ns-832.awsdns-40.net.
category-ui-af. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
category-ui-as. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
category-ui-ea. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
category-ui-ee. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
category-ui-eu. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
category-ui-jp. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
category-ui-la. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
category-ui-me. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
category-ui-na. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
category-ui-oc. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
category-ui-sa. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
category-ui. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
clife-base-auth-af. 	300 	CNAME 	account-nginx-vidaahubext-c909678e6d6e46f8.elb.us-west-2.amazonaws.com.
clife-base-auth-as. 	300 	CNAME 	account-nginx-vidaahubext-c909678e6d6e46f8.elb.us-west-2.amazonaws.com.
clife-base-auth-ea. 	300 	CNAME 	account-nginx-vidaahubext-c909678e6d6e46f8.elb.us-west-2.amazonaws.com.
clife-base-auth-ee. 	300 	CNAME 	account-nginx-vidaahubext-c909678e6d6e46f8.elb.us-west-2.amazonaws.com.
clife-base-auth-eu. 	300 	CNAME 	account-nginx-vidaahubext-c909678e6d6e46f8.elb.us-west-2.amazonaws.com.
clife-base-auth-la. 	300 	CNAME 	account-nginx-vidaahubext-c909678e6d6e46f8.elb.us-west-2.amazonaws.com.
clife-base-auth-me. 	300 	CNAME 	account-nginx-vidaahubext-c909678e6d6e46f8.elb.us-west-2.amazonaws.com.
clife-base-auth-na. 	300 	CNAME 	account-nginx-vidaahubext-c909678e6d6e46f8.elb.us-west-2.amazonaws.com.
clife-base-auth-oc. 	300 	CNAME 	account-nginx-vidaahubext-c909678e6d6e46f8.elb.us-west-2.amazonaws.com.
clife-base-auth-sa. 	300 	CNAME 	account-nginx-vidaahubext-c909678e6d6e46f8.elb.us-west-2.amazonaws.com.
clife-base-auth. 	300 	CNAME 	account-nginx-vidaahubext-c909678e6d6e46f8.elb.us-west-2.amazonaws.com.
cms-na. 	300 	CNAME 	njbp-oss-99b288ace96d20e4.elb.us-west-2.amazonaws.com.
cms. 	300 	CNAME 	njbp-oss-99b288ace96d20e4.elb.us-west-2.amazonaws.com.
cmsop. 	300 	CNAME 	njbp-oss-99b288ace96d20e4.elb.us-west-2.amazonaws.com.
dass. 	300 	A 	34.218.91.190
debugger-partner-test. 	300 	CNAME 	dev-mobile-tenant-webapp-c829ce588eea52dc.elb.us-west-2.amazonaws.com.
debugger-partner. 	300 	CNAME 	webapp-devkit-5984f2ddfaa1390f.elb.us-west-2.amazonaws.com.
detail-ui-af. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
detail-ui-as. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
detail-ui-ea. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
detail-ui-ee. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
detail-ui-eu. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
detail-ui-jp. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
detail-ui-la. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
detail-ui-me. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
detail-ui-na. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
detail-ui-oc. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
detail-ui-sa. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
detail-ui. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
dev-jucloud. 	300 	CNAME 	sit-nlb-d6b2cbf33f6af849.elb.us-west-2.amazonaws.com.
device-ecom. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
devkit-vidaa. 	300 	CNAME 	d-3w2ucd90mc.execute-api.us-east-1.amazonaws.com.
devkit. 	300 	CNAME 	d-81c2306991.execute-api.us-east-1.amazonaws.com.
doc-vidaa. 	300 	CNAME 	d380ctt1ebzq07.cloudfront.net.
domain. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
dot-jrnl-af. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
dot-jrnl-as. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
dot-jrnl-ea. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
dot-jrnl-ee. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
dot-jrnl-eu. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
dot-jrnl-jp. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
dot-jrnl-la. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
dot-jrnl-me. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
