bas-oc.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
bas-sa.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
bas.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
basics-op.vidaahub.com. 	300 	CNAME 	basic-op-nginx-external-ef8edaa41904a123.elb.us-west-2.amazonaws.com
category-ui-af.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
category-ui-as.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
category-ui-ea.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
category-ui-ee.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
category-ui-eu.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
category-ui-jp.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
category-ui-la.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
category-ui-me.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
category-ui-na.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
category-ui-oc.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
category-ui-sa.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
category-ui.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
clife-base-auth-af.vidaahub.com. 	300 	CNAME 	account-nginx-vidaahubext-c909678e6d6e46f8.elb.us-west-2.amazonaws.com
clife-base-auth-as.vidaahub.com. 	300 	CNAME 	account-nginx-vidaahubext-c909678e6d6e46f8.elb.us-west-2.amazonaws.com
clife-base-auth-ea.vidaahub.com. 	300 	CNAME 	account-nginx-vidaahubext-c909678e6d6e46f8.elb.us-west-2.amazonaws.com
clife-base-auth-ee.vidaahub.com. 	300 	CNAME 	account-nginx-vidaahubext-c909678e6d6e46f8.elb.us-west-2.amazonaws.com
clife-base-auth-eu.vidaahub.com. 	300 	CNAME 	account-nginx-vidaahubext-c909678e6d6e46f8.elb.us-west-2.amazonaws.com
clife-base-auth-la.vidaahub.com. 	300 	CNAME 	account-nginx-vidaahubext-c909678e6d6e46f8.elb.us-west-2.amazonaws.com
clife-base-auth-me.vidaahub.com. 	300 	CNAME 	account-nginx-vidaahubext-c909678e6d6e46f8.elb.us-west-2.amazonaws.com
clife-base-auth-na.vidaahub.com. 	300 	CNAME 	account-nginx-vidaahubext-c909678e6d6e46f8.elb.us-west-2.amazonaws.com
clife-base-auth-oc.vidaahub.com. 	300 	CNAME 	account-nginx-vidaahubext-c909678e6d6e46f8.elb.us-west-2.amazonaws.com
clife-base-auth-sa.vidaahub.com. 	300 	CNAME 	account-nginx-vidaahubext-c909678e6d6e46f8.elb.us-west-2.amazonaws.com
clife-base-auth.vidaahub.com. 	300 	CNAME 	account-nginx-vidaahubext-c909678e6d6e46f8.elb.us-west-2.amazonaws.com
cms-na.vidaahub.com. 	300 	CNAME 	njbp-oss-99b288ace96d20e4.elb.us-west-2.amazonaws.com
cms.vidaahub.com. 	300 	CNAME 	njbp-oss-99b288ace96d20e4.elb.us-west-2.amazonaws.com
cmsop.vidaahub.com. 	300 	CNAME 	njbp-oss-99b288ace96d20e4.elb.us-west-2.amazonaws.com
dass.vidaahub.com. 	300 	A 	34.218.91.190
debugger-partner-test.vidaahub.com. 	300 	CNAME 	dev-mobile-tenant-webapp-c829ce588eea52dc.elb.us-west-2.amazonaws.com
debugger-partner.vidaahub.com. 	300 	CNAME 	webapp-devkit-5984f2ddfaa1390f.elb.us-west-2.amazonaws.com
detail-ui-af.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
detail-ui-as.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
detail-ui-ea.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
detail-ui-ee.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
detail-ui-eu.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
detail-ui-jp.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
detail-ui-la.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
detail-ui-me.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
detail-ui-na.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
detail-ui-oc.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
detail-ui-sa.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
detail-ui.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
dev-jucloud.vidaahub.com. 	300 	CNAME 	sit-nlb-d6b2cbf33f6af849.elb.us-west-2.amazonaws.com
device-ecom.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
devkit-vidaa.vidaahub.com. 	300 	CNAME 	d-3w2ucd90mc.execute-api.us-east-1.amazonaws.com
doc-vidaa.vidaahub.com. 	300 	CNAME 	d380ctt1ebzq07.cloudfront.net
domain.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
